Comments,PublishedAt,Author,Like_Counts,Reply_Comments
Please upload live recording Shreya Ghoshal mam singing this song,2024-06-02T19:59:28Z,@Tinyhutshow,1,0
I come here only for shreya ghosal ❤,2024-06-02T19:57:53Z,@Tinyhutshow,1,0
Shreya Ghoshal fans assemble here ❤,2024-06-02T19:57:16Z,@Tinyhutshow,1,0
Exciting and Enjoying composing  melody from DSP😍... ❤🔥🔥,2024-06-02T19:56:18Z,@voiceoflokesh3819,1,0
Aluu Arjun  have biggest fan,2024-06-02T18:30:35Z,@chemeyastudy,0,0
Shreya Ghoshal 💛,2024-06-02T17:52:22Z,@MosesDesosa-wm3yx,1,0
1:53 These Lines ❤and her voice,2024-06-02T16:09:31Z,@Kaviya0511,0,0
DSP now ok before then now ok keep it op DSP,2024-06-02T15:49:34Z,@nizafirroz-nr9wj,0,0
"This song has a special allure, making me want to listen to it over and over again!",2024-06-02T14:04:57Z,@MiaLaLaMusic,0,0
Maruthani songs from sakkaraikatti remake,2024-06-02T12:47:05Z,@anandhkumar7082,0,0
#freepalestine🇵🇸,2024-06-02T12:01:10Z,@jafferjaffer151,0,0
DSP super I love you,2024-06-02T11:40:03Z,@sakthidurga166,0,0
Shreya Ghoshal❤️✨,2024-06-02T11:18:54Z,@padmapriyams-1275,10,0
Looks like Marathi song,2024-06-02T09:53:32Z,@vaishnavisubramaniam5056,0,0
0:19 Chotta chotta nelayuthu Taj Mahal 🤣🤣,2024-06-02T09:10:08Z,@harshinibsccsa1678,1,1
Nalla  irukkuu❤❤❤,2024-06-02T08:50:16Z,@dharanivaratharaj7263,0,0
Shreya ghoshal fan🎉,2024-06-02T07:32:35Z,@kudanthaisisters4595,3,0
I am waiting for puspha 2,2024-06-02T07:20:19Z,@Ghivufrg,0,0
Chotta chotta ninaiyudhu tajmahal movie song maari irukku.,2024-06-02T06:23:55Z,@m.lavanyasathishsathishlav3503,1,0
Superb song ❤❤❤😊😊😊😊,2024-06-02T05:58:30Z,@Manjufromkuwait,0,0
"Pushpa 1 -village version 
Pushpa 2 - city version",2024-06-02T05:27:28Z,@gopigopi5942,1,0
