Comments,PublishedAt,Author,Like_Counts,Reply_Comments
𝐬𝐡𝐫𝐞𝐲𝐚 𝐠𝐡𝐨𝐬𝐡𝐚𝐥 𝐢𝐬 𝐪𝐮𝐞𝐞𝐧😚,2024-05-30T15:48:02Z,@pugalenthiParamasivam,1,0
Vibe h vibe 🎉🎉🎉❤❤❤,2024-05-30T15:42:29Z,@INDIAPOST-zf1mk,1,0
Like hindi song feeling,2024-05-30T15:18:14Z,@srikarprasad7884,1,0
இதுவரைக்கும் புஷ்பா-1 பாக்காத வங்க இருக்கீங்களா?,2024-05-30T15:16:16Z,@Yuvispeakstamil,1,0
Thalapathy Vijay fans assemble here❤,2024-05-30T15:12:34Z,@KrishnaKumar-gv7qy,39,6
Who are all watch Pusha pusha song only on reel,2024-05-30T15:05:51Z,@balajii8151,1,0
Song nala ila,2024-05-30T15:03:20Z,@dhurukutty3608,0,0
Vijay devarkonda laughing at the corner,2024-05-30T15:00:12Z,@BharathiK-my9lx,1,0
😂😂,2024-05-30T14:54:35Z,@devijoshi3646,0,0
Songe kevalama iruku 😢😢😢,2024-05-30T14:49:30Z,@boobalanachu4224,1,0
Pan india film.. 🇮🇳❤,2024-05-30T14:46:00Z,@AJAY95952,0,0
Masala song... very bad,2024-05-30T14:40:45Z,@seralathanb2078,0,0
Yaru yarukkalam Pushpa movie pudikathu👋🏻,2024-05-30T14:38:50Z,@arikrishnanlarikrishnan7033,27,3
Bit ilama epdi da unga paatu hit aagum😢 on screen la dress irukadhu pola,2024-05-30T14:32:51Z,@dineshdasan1,0,0
Jai allu arjun ❤,2024-05-30T14:08:00Z,@thotagangadhar5759,0,0
👌👌👌👌 rashmika ❤❤❤,2024-05-30T14:01:01Z,@RupaRubas,0,0
Lyrics super music worst ra DSP,2024-05-30T13:58:14Z,@K_p_k7000,0,0
Shreya❤❤❤❤,2024-05-30T13:40:55Z,@mediavibes9103,3,0
"https://www.youtube.com/watch?v=RR8lwHZ4NWs   

இது தாஜ்மஹால் படத்தில் வரும் சொட்ட நாளையிது தாஜ்மஹால் பட்டை போல் இருக்கு",2024-05-30T13:34:58Z,@SHANSHAM-rp4mx,1,0
💎❤,2024-05-30T13:17:53Z,@jhanugul3085,0,0
Ok not bad❤,2024-05-30T13:05:58Z,@godwar599,2,0
"Song is awesome 🔥🔥🔥
But lip doesn't matching",2024-05-30T13:02:29Z,@mohamedrushith5874,0,0
Super ❤❤❤,2024-05-30T12:56:29Z,@TankadharDharua-qy9zq,0,0
Super ❤❤❤,2024-05-30T12:55:39Z,@TankadharDharua-qy9zq,0,0
🖤Rashmika fans🖤=💜BTSfans 💜,2024-05-30T12:46:36Z,@sandhyapagadala5894,4,0
Ennada ithu 😂,2024-05-30T12:29:37Z,@sruthi290,1,0
"Yaarlam last la hero sitla heroin um, heroin sitla hero utkanthatha patinga😂😂😂",2024-05-30T12:28:02Z,@theamazingrock9353,0,0
Sherya goshal fans❤,2024-05-30T11:58:16Z,@lalithatammineni1504,1,0
Song melody,2024-05-30T11:57:56Z,@lalithatammineni1504,0,0
Lyrics super,2024-05-30T11:57:40Z,@lalithatammineni1504,1,0
Tamil lyrics awesome ❤🎉,2024-05-30T11:49:01Z,@filmmakerkk5044,2,0
Sherya song❤❤❤,2024-05-30T11:47:49Z,@shyamkumarv.s52,1,0
Rashmika mandana ❤😍,2024-05-30T11:27:49Z,@neela2242,0,0
"மொக்க song pa 
   👇",2024-05-30T11:19:52Z,@Lazy_gamer_dk,1,0
national cringe spotted,2024-05-30T11:15:41Z,@hemachandrans8807,0,0
😍,2024-05-30T11:00:21Z,@Guna7_offl,1,0
Audio quality poor,2024-05-30T10:54:49Z,@vizagvlogs1,0,0
"Take cheesy bad films and cream it up with cute faces, foot tapping music and BTS videos.  Forget talent, creativity, aesthetics and good cinema..  RRR type acidic hero worshiping jingoism galore :)",2024-05-30T10:40:42Z,@libranvinodu,0,0
"DSP COPIED PUSHPA 2 COUPLE SONG FROM CHOTTA CHOTTA - Tajamahal A.R.Rahman song.
Every so called Rockstars from shameless copycat Anirudh to DSP( Devi Sri Prasad) is copying from A.R.RAHMAN 🤦
https://youtu.be/it7nbom9ivs",2024-05-30T10:37:07Z,@rise4datruth,0,0
Super song ♥️♥️,2024-05-30T10:30:50Z,@rb22335,0,0
Eppudiyavathu oo solriya pattu mathiri oru pattu veanoom pathukoonga,2024-05-30T10:29:50Z,@dwhitedevil3640,0,0
I can smell flop 😑,2024-05-30T10:24:39Z,@Ro_1206,2,0
"MY HEROOOO ARJUN SIR SO SO SO MUCH ROMANTIC JODI STEP HERE DEEPLY FALL IN LOVE ON THIS THIS STEPS ALSO WHEN SEE THE FIRST TIME NOW CAN'T WAIT FOR SEE THIS ROMANTIC JODI STEPS IN BIG SCREEN COME SOON #PUSHPARAJ
#PUSHPATHERULE 
💛💛💛💛💛💛💛💛💛",2024-05-30T10:23:21Z,@m_a_y_a_s_a_r_t_147,0,0
தமிழ் நடிகர்கள் மாஸ்🎉😅,2024-05-30T10:08:32Z,@user-sp6id3fv2y,1,0
நல்லாவே இல்ல,2024-05-30T10:07:46Z,@user-sp6id3fv2y,1,0
Good bad ugly ku dsp 😭. Thaman 😄ok💥,2024-05-30T10:06:13Z,@harishhharishh-iw3cw,0,0
Inspired from Ar Rahman chotta chotta song,2024-05-30T10:05:19Z,@healerhealer199,0,0
Listen 1.25x speed 🔥🔥🔥🔥🔥,2024-05-30T10:04:05Z,@sarasara-rh4rr,0,0
Congratulations from Assam Prabhash fans club ❤❤❤,2024-05-30T09:59:24Z,@Varioustopics2024,1,0
Good,2024-05-30T09:55:24Z,@MdMunna-gp3dc,0,0
Super,2024-05-30T09:44:07Z,@user-gh1fo8wo4m,0,0
Beat lovers here ❤,2024-05-30T09:43:36Z,@allinall6120,1,0
Pan world star prabhas fans like,2024-05-30T09:37:59Z,@sbplnayakdarling4205,0,0
En elavu da ithu 🙄,2024-05-30T09:28:22Z,@saalaninfo5477,1,0
Credit par singer ka nam hi nehi! Bah bah bah!!! 🤔,2024-05-30T09:24:35Z,@uniquepriya01,0,0
Song Nala ila pa,2024-05-30T09:15:58Z,@selvi.gguru.g8479,0,0
Only Because of SG❤🔥 anyone else?,2024-05-30T08:39:42Z,@CoffeeArtist_Santhosh,1,0
but rashmika pushpa1 to many change in puspa 2,2024-05-30T08:22:55Z,@VeluM.p,1,0
pazhaya sammi pattu singer ee padirikalam nu yaren la solringa,2024-05-30T08:22:01Z,@VeluM.p,1,0
"Pushpa Bhau , she is shrivalli infront of you but she is also Ranvijay's geetanjali behind you 🙂🤣🤙🏻",2024-05-30T08:21:36Z,@user-wh3pv6gx2n,1,0
Who all there to dislike for rashmika ..😂,2024-05-30T08:08:27Z,@foodiejoe1382,1,0
"Why Shreya Ghoshal's name not in the title. It's soo disappointing and disrespectful to a GOAT singer like her😢
@☕series 💩",2024-05-30T08:00:44Z,@musikzz9843,3,0
"Allu Arjun + Rashmika Mandanna + Shreya Ghoshal ❤ 
Pushpa will Rule 💥",2024-05-30T07:53:42Z,@MrStickySticky_Animations,7,0
Ganesh Acharya... The real choreographer🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,2024-05-30T07:52:22Z,@jesusmary5617,0,0
AA ❤️ N one more Shreyaji FAN here 😘🤗,2024-05-30T07:51:01Z,@MAKEFAMUS,0,0
Bgm🔥,2024-05-30T07:45:42Z,@sakthi-ms6qo,1,0
The control Shreya Ghoshal has on her vocals are insane😮❤️🔥,2024-05-30T07:43:49Z,@musikzz9843,97,0
The control Shreya Ghoshal has on her vocals are insane😮❤️🔥,2024-05-30T07:42:50Z,@musikzz9843,2,0
More than everything I like viveka lyrics ❤❤❤ DSP and Viveka blockbuster combo🎉,2024-05-30T07:41:55Z,@innershadow8718,0,0
North singer talent 💯% Tamil singer 000😂😂,2024-05-30T07:39:42Z,@laxmanmagar7849,1,0
Editing BGM😢❤😍🔥,2024-05-30T07:39:26Z,@vigneshwarikailasam1425,0,0
Music remembering 90s deva melody songs,2024-05-30T07:38:07Z,@sathyar5869,0,0
Ya,2024-05-30T07:37:59Z,@pranesh7779,0,0
Shreya Ghoshal making it a habit to slay in whatever she does. Queen of vocals❤️,2024-05-30T07:31:18Z,@cinemaniac7363,62,1
Rasmika fans assemble❤❤❤❤,2024-05-30T07:30:19Z,@SamyuthaasSpot,0,0
Dai ena step da ithu😅,2024-05-30T07:28:18Z,@timepass604,3,0
You know it's going to be hit song if Shreya Ghoshal is in it🔥,2024-05-30T07:28:12Z,@binodsuper,5,0
Shreya Ghoshal holds on Tamil language or any other as a matter of fact is damn impressive❤️‍🔥. As always Allu Arjun rocks😎,2024-05-30T07:25:07Z,@xavierunclejpg,17,0
Shreya Ghoshal ❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2024-05-30T07:25:02Z,@nithishtamil3655,3,0
"Many singers have come and gone, but Shreya Ghoshal remains as no.1 even after two decades. 🔥",2024-05-30T07:19:51Z,@Moosikz,12,0
Unexpected music😦allu bro Disappointed tamil fans😮‍💨,2024-05-30T07:14:32Z,@Razak_Editz,0,0
❤❤❤,2024-05-30T07:05:04Z,@s.devikapennadam7908,0,0
Waiting for fire 🔥🔥🔥🔥🔥🔥. film,2024-05-30T07:04:54Z,@alexgamingworld8586,1,0
DSP is senior is senior only now first time hearing songs not boring Okay ok better music feelings but other Music composer's is only BGM only songs not that much sweet. DSP is better 👍👌👏,2024-05-30T06:28:22Z,@dilliprasad8684,0,0
Thandiya Attam Ada thasara koottam kooda 😂,2024-05-30T06:23:15Z,@villageboysgaming5985,1,0
What happened.. Tamil version less views but top 2 in trending how its possible,2024-05-30T06:18:53Z,@summasumma1800,2,0
Shreya Ghosal😍,2024-05-30T05:52:03Z,@storytalkstamil,3,0
Thanks for Lyricist Viveka for Bringing the same Meaning and Energy for the song & not killing with lame lyrics 🔥💯✨,2024-05-30T05:50:52Z,@nothin__without_u,2,0
Background puneri base,2024-05-30T05:47:55Z,@ganeshkumbhar9652,0,0
Shreya Ghoshal fans like comment 🙋,2024-05-30T05:31:10Z,@satyajitmaity88,1,0
Why there is no name of shreya ghoshal in the description ??? So disappointing,2024-05-30T05:26:28Z,@Animeshh1,1,0
is there singer name,2024-05-30T05:24:17Z,@kalai8707,0,0
❤ music❤ 🎶🎶🎶🎶🎶🎶❤,2024-05-30T05:10:14Z,@123476517,0,0
Creative ❤,2024-05-30T05:08:01Z,@Mohana.sundaram,0,0
Rasmika full vibe join ❤,2024-05-30T05:07:02Z,@kumarammu6545,1,0
Shreyaa ghoshal voice magical ❤,2024-05-30T05:00:50Z,@mediatimepass6463,1,0
Vera level DSB music ❤❤❤❤😮😮,2024-05-30T04:54:56Z,@Tamil_clup,1,0
🇮🇳🇮🇳🇮🇳 sambavam uruthi 💥🔥,2024-05-30T04:36:27Z,@Leodas385,0,0
Do better lyrics next time,2024-05-30T04:31:44Z,@KaageethanAram,1,0
0:55,2024-05-30T04:24:36Z,@djayavelu2011,0,0
Ena elavu step da ithu😂,2024-05-30T04:09:36Z,@TimeToVlog24,1,0
❤❤❤,2024-05-30T04:01:07Z,@user-hd5wn5fb2f,0,0
The same stupid swag & oily dusted look. Hero wears a saree for what to get cheap money from audience. A villain that loots national forest treasures and makes indecent money is a projected as a supper hero without remorse and heroine dances to it to?  And for this we make the movie in two parts?,2024-05-30T04:00:12Z,@SN-cq4fy,0,0
DSP 💥💥💥👍,2024-05-30T03:58:04Z,@MadhanRagava,0,0
"first time listing-lets hear this song
second time listing-not bad
third time listing-great song
fourth time listing-amazing song its my fav now",2024-05-30T03:54:32Z,@akshyak.v7149,1,0
Awesome voice...❤❤❤,2024-05-30T03:53:37Z,@AstherRajarathnam,1,0
❤❤,2024-05-30T03:51:48Z,@mistercool3246-ti7og,0,0
Tibetan dance copy video making,2024-05-30T03:40:07Z,@SIBIRAJ-kf7eo,0,0
Tibetan dance copy video,2024-05-30T03:39:53Z,@SIBIRAJ-kf7eo,1,0
This dance Tibetan people dance copy video making,2024-05-30T03:39:44Z,@SIBIRAJ-kf7eo,0,0
Wow,2024-05-30T03:25:21Z,@Friends-rs7sv,0,0
❤,2024-05-30T03:25:10Z,@Friends-rs7sv,0,0
🔥,2024-05-30T03:24:24Z,@Friends-rs7sv,0,0
❤️❤️‍🔥,2024-05-30T02:49:37Z,@rashmika_editors_,0,0
Allu Arjun 🦁,2024-05-30T02:33:03Z,@ankithbunny08,0,0
❤❤❤❤❤,2024-05-30T02:12:02Z,@ramyadav3095,0,0
"Background music nice, seraya goshal voice super❤",2024-05-30T02:08:28Z,@user-pe4yw9xl4n,2,0
👎🏻,2024-05-30T02:00:50Z,@vahithas9599,1,0
Pushpa 2 songs compare to pushpa 1 is the best,2024-05-30T01:59:18Z,@loganathank3009,1,0
Thanks for 12 subscribers 🥺,2024-05-30T01:57:02Z,@Movie_mela_560,0,0
Sukumar reaction 0:58,2024-05-30T01:42:51Z,@user-vt2no7hb6i,0,0
DSP fans assemble here,2024-05-30T01:37:08Z,@kgmpooja9602,0,0
Allu arjun❤❤,2024-05-30T01:30:34Z,@demon50245,0,0
🎉🎉,2024-05-30T01:25:57Z,@CherryRoyal,0,0
❤❤,2024-05-30T01:25:52Z,@CherryRoyal,0,0
Allu Arjun style star tamil nadu 🔥,2024-05-30T01:17:49Z,@mohammadrizriyasmohammadri4869,1,0
Shreya goshal ❤,2024-05-30T01:17:08Z,@Madhaninbox4,2,0
"Pushpa 2 best song this ---
                                  |
                                 ↓",2024-05-30T00:36:43Z,@user-tm9fv8cq4o,1,1
Sotta sotta song tajmahal movie,2024-05-30T00:30:16Z,@Gokusl,1,0
Nalla irukku paa song uhh ❤❤,2024-05-30T00:17:24Z,@Sakthi_Hari,0,0
Devi is back 😎😎,2024-05-30T00:15:29Z,@alltsayurvedamchannel9902,0,0
Super Viveka lyrical,2024-05-30T00:00:23Z,@user-ch1ri7qp7b,0,0
"@T-series Tamil
Why y'all didn't mention a singer name....",2024-05-29T23:32:21Z,@kalaivani7268,1,0
#alleyesonrafah 🇵🇸🇵🇸🇵🇸,2024-05-29T22:01:48Z,@nobodyhere1652,0,0
"This song...
Shreya Ghoshal Rocks in All the languages....(Hindi,Telugu,tamil,Bengali,Kannada,Malayalam)
❤",2024-05-29T21:37:42Z,@lien.55,0,0
Shreya ghoshal ❤🎉😊,2024-05-29T21:22:19Z,@masumaafrin7638,0,0
"Why singer name is not in the description?! Even you're doing big flim try to remember, recognise and appreciate small talent people. This may look small for you but this someone's biggest dream.",2024-05-29T20:27:18Z,@pradhap2901,0,0
Waiting for David Warner version 😅😅😅,2024-05-29T19:54:07Z,@shbhasith1569,2,0
Sotta sotta nenaiyithu taj mahal,2024-05-29T19:53:27Z,@Jerry0525,1,0
Waiting ❤❤❤❤❤,2024-05-29T19:52:40Z,@user-zj8xe2un2j,0,0
Bangla Version ❤️‍🔥👌👌👌👌👌,2024-05-29T19:38:27Z,@MJDLimitedMJD,0,0
Total credit only shreya ghoshal maam ❤ supper Voice.,2024-05-29T19:32:04Z,@jalalpathan7390,1,0
Vintage Dsp touch🎉❤,2024-05-29T19:24:49Z,@sriramnatrajan1069,0,0
Insta reels trending 😊❤,2024-05-29T19:14:41Z,@reneeshpjm8406,0,0
Such a cute steppp for allu 🥺🥵 can’t wait for the original & pushpa 2😍🎉✨,2024-05-29T19:09:50Z,@tiffanytalksxox,4,0
Otha Unkitta Katti iruppan Sollura nee kattamma avan epdi katti iruppan di 🤣🤣🤣,2024-05-29T19:08:46Z,@StrYassarStr,0,0
Sathiyama nala ella😂,2024-05-29T19:08:10Z,@varshasri9037,1,0
"Wat a magical voice 🪄✨ , voice from heaven. Shreya👏💗",2024-05-29T19:02:05Z,@changame1990,1,0
2000's la ulla song ah ketta madhiri irulu😍😍,2024-05-29T18:46:51Z,@muthuff3889,0,0
Vice music dance step ❤,2024-05-29T18:44:56Z,@gulabsahu1971,0,0
🤍🤍🤍🤍🤍🤍,2024-05-29T18:24:30Z,@snehachatterjee3653,0,0
Shreya Ghoshal mam ❤,2024-05-29T18:22:07Z,@vjneditz3856,0,0
I dono why suchi complained even Shreya voice.... may be poraama????,2024-05-29T18:18:51Z,@nandhinipandian6112,1,0
Shreya sung beautifully. She is world class singer. Best wishes to her 🎉,2024-05-29T18:17:39Z,@srisri1965,6,0
I feel this song could have been made in full folk genre instead of melody type...the saami song in pushpa 1 was energetic..was expecting the sequel should have been something more than that vibe...,2024-05-29T18:17:04Z,@pavithrakalyanaraman8574,1,0
Iam ur fan bro but pushpa 2 song not nice,2024-05-29T18:14:56Z,@firewallgamers,1,0
"Simply cringe 💯, if not good",2024-05-29T18:10:51Z,@mchan9424,1,0
Mookkothi muththazhagu moondram pirai pottazhagu😁,2024-05-29T18:06:21Z,@RaviVarman5267,1,0
Inimel Amala shaji alapara vera thanga mudiyatha 😢,2024-05-29T18:06:05Z,@vichu56,0,0
Ippo idha veche 1008 reels poduvaanga paarunga 😂,2024-05-29T18:05:08Z,@gayatri_r,0,0
😂😂😂,2024-05-29T18:03:56Z,@viratkohli8049,0,0
This song best tamil 🎉🎉🎉🎉❤,2024-05-29T17:58:04Z,@shemeeribrahim5099,0,0
Shreya Ghoshal's voice is perfect for any genres any language,2024-05-29T17:52:07Z,@user-ez1xq5bh2c,0,0
Allu Arjun❤❤❤🙏🏼🙏🏼🙏🏼🙏🏼,2024-05-29T17:50:22Z,@kckougamer4178,0,0
Rasmiga cute exprasion super😍😍😍,2024-05-29T17:43:39Z,@JothiJothi-rd3pz,1,0
Shreya Ghoshal voice semma pattu rombo mokka .....,2024-05-29T17:43:10Z,@sartharkhan2786,0,0
Allu arjun❤🎉,2024-05-29T17:42:03Z,@ParveenMalik-fg7jc,0,0
😂😂😂😂😂😂😂😂😂😂😂,2024-05-29T17:40:26Z,@demonscreate241,1,0
Rashmika fans,2024-05-29T17:36:35Z,@editer711,1,0
MSD FANS ASSEMBLE HERE💛💛💛💛,2024-05-29T17:31:09Z,@Sanjayrahul24249,0,0
Tamil people ki pythyama irukka da ...nalla paata like panna da,2024-05-29T17:25:55Z,@KarnasJourney,1,0
Not soo good >>>> like here,2024-05-29T17:25:32Z,@vijaysreactiontime5098,1,0
Shreya ghoshal,2024-05-29T17:24:26Z,@pjzala1836,1,0
Sami sami song vida ithu super irukku,2024-05-29T17:19:32Z,@thamba8221,5,0
பாடலாசிரியர் விவேகா சற்றும் தெலுங்கு வாடை இல்லாமல் முழுக்க முழுக்க இந்த பாட்டை ஒரு தமிழ்ப் பாடலாக்கியுள்ளார்...,2024-05-29T17:18:15Z,@raghavn9398,0,0
Crap song😂😂,2024-05-29T17:16:02Z,@numberfive5600,1,0
Where is the Singer name??? @shreya_ghoshal,2024-05-29T17:13:11Z,@vengatkrishnan2946,1,0
AA❤,2024-05-29T17:06:48Z,@MadhuB-cc8jv,0,0
Don't vibe just cringe😂,2024-05-29T17:06:47Z,@TGS_EXE.FREEFIRE4083,1,0
"புஷ்பா 1 சாங் ஹாசம்😊
புஷ்பா 2 சாங் மோசம் 😢",2024-05-29T17:03:44Z,@bharathibharathi6267,4,0
"Ennada 
Dillu baru jaane song ah
Appadiya pottu irukka
(Ilayaraja song)",2024-05-29T17:02:19Z,@durgairaj5926,0,0
"allu
arjun",2024-05-29T16:57:50Z,@alltimepass2023,0,0
🎶💭 Rocking DSP 🎉❤,2024-05-29T16:54:26Z,@soopersubuu,0,0
❤❤,2024-05-29T16:48:12Z,@VasanthBadavath-yn7rt,0,0
This is not a couple song it's couples song 💃🕺💃🕺,2024-05-29T16:46:06Z,@enapellivijaykumar1117,0,0
Mokka paatu,2024-05-29T16:43:19Z,@akgfamily7835,1,0
🤩,2024-05-29T16:42:14Z,@anoopaa257,0,0
Short https://youtube.com/shorts/rW9VYauUyv8?feature=share,2024-05-29T16:37:53Z,@KidsSpecial-xl8qc,0,0
Chotta chotta nanaiyuthu tajmahal song from tajmahal ❤️❤️,2024-05-29T16:37:26Z,@vimala5147,0,0
Shreya goshal❤❤❤,2024-05-29T16:36:41Z,@PAGALAVANPRABU,1,0
Hit aga valthukkal ❤,2024-05-29T16:33:01Z,@ArunaT-cf8sg,1,0
Samantha fans assemble here🔥🔥🔥🔥,2024-05-29T16:32:36Z,@nilamathi4945,1,0
https://youtu.be/df3FMyBOGRM?si=iA3WxIVxaaV_upf2,2024-05-29T16:23:31Z,@Sankrish-ui6tl,0,0
Worst,2024-05-29T16:19:34Z,@user-raja792,0,0
Hi who will see this heroine again.  Pls AA😢,2024-05-29T16:15:46Z,@theebhanraja9769,0,0
Sema super,2024-05-29T16:15:34Z,@Ganesh-hg8mk,0,0
Ena costume di ithu,2024-05-29T16:13:26Z,@babujichandrasekaran8169,1,0
I like this song ❤,2024-05-29T16:12:40Z,@karthikeyan.8836,0,0
❤love😍 you❤🙌,2024-05-29T16:12:03Z,@rakhighorai2388,0,0
Allu dance matum illa eruntha nallairukum,2024-05-29T16:11:28Z,@tribleninegamer7011,0,0
❤❤❤,2024-05-29T16:09:20Z,@Hello-tq6br,0,0
Only girls song💞🚶🏽‍♂️🎶,2024-05-29T16:08:41Z,@felix___anto,0,0
🎉🎉🎉,2024-05-29T16:07:32Z,@karthikm2857,0,0
❤,2024-05-29T16:06:40Z,@travenlo7,0,0
Mixed all tamil songs tunes....,2024-05-29T16:05:31Z,@sankarpandi5255,0,0
Allu arjun sir bolenge ab🖤,2024-05-29T16:04:12Z,@user-qf4tk4qw4o,1,0
Allu arjun sir bolenge ab🖤,2024-05-29T16:03:31Z,@user-qf4tk4qw4o,1,0
Teruk ah irukku words Malaysia,2024-05-29T16:03:04Z,@killstealnodeal3580,0,0
https://youtube.com/shorts/NVT_huNV_h0?si=4hqYRUe4-wTlWQFE,2024-05-29T16:02:36Z,@aaravindkumar6,0,0
Telugu fans like here ❤💥✨,2024-05-29T16:00:31Z,@someshkola3842,0,0
DSP🔥🔥🔥🔥🔥🔥,2024-05-29T15:55:18Z,@ranjithkumarranjithkumar5236,2,0
Step trending aganunu.. poduranuga.. enna oru .. ....,2024-05-29T15:52:41Z,@ayyappanv9245,0,0
Not to be pessimistic but it really feels like the end is nearing for sreevalli. It might be in this movie.,2024-05-29T15:47:52Z,@fourteeN.27,0,0
💖💕💖💙💖❤️‍🔥👰,2024-05-29T15:45:18Z,@venkatpushpa8712,0,0
music super ❤,2024-05-29T15:42:42Z,@LalitKumar-kx4dq,0,0
Srivalli >>> this 😢,2024-05-29T15:41:56Z,@sasidharanv5096,1,0
fafa kaga  movie paaklamm,2024-05-29T15:37:07Z,@thebatman01939,1,0
Worst BGM Song 🤡🤡🤡🤣,2024-05-29T15:35:50Z,@GOAT_NO-1_WORLD,1,0
Dance moment vera levels,2024-05-29T15:35:43Z,@devadeva-to7ox,0,0
Paatu funda madhri iruku 🥹♥️,2024-05-29T15:35:21Z,@prinxe4217,0,0
AA,2024-05-29T15:34:36Z,@Vnxx_Efx,0,0
SHREYA GHOSHAL VOICE💜😍🥰,2024-05-29T15:24:32Z,@user-ut7wf2ez1p,1,0
Morattu flop thayaar 😂,2024-05-29T15:24:00Z,@santhoshkumar1559,1,0
Enna erunthalaum sammy sammy song thaa,2024-05-29T15:21:54Z,@ptvijay_3200,0,0
Ayyaa dsp unmaya neengaalaaa????,2024-05-29T15:21:23Z,@reyaazdeen3193,0,0
Save rain water it is Precious,2024-05-29T15:19:47Z,@aespakarina204,0,0
யாருக்கெல்லாம் இந்த பாட்ட கேட்டு தாஜ்மஹால் ல வர song நியாபகம் வந்தது,2024-05-29T15:10:03Z,@prakashr-2928,0,0
NOT THAT GOOD,2024-05-29T15:08:12Z,@MrMuthukumar2002,0,0
Shreya ghosal ❤,2024-05-29T15:08:11Z,@HEROENIYASJA,0,0
ALLU ARJUN 💖❤❤❤❤❤❤❤❤❤❤💖,2024-05-29T15:07:04Z,@facebook9504,0,0
Lovely song 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,2024-05-29T15:06:10Z,@facebook9504,1,0
ALLU ARJUN 💖💖💖💖💖💖💖💖💖 srivalli 💖💖💖💖💖💖 beautiful song,2024-05-29T15:05:28Z,@facebook9504,2,0
AA❤❤❤❤,2024-05-29T15:00:41Z,@pradeepchellurichelluri6448,0,0
Song And Music Not Match❌️❌️❌️,2024-05-29T15:00:23Z,@apcreationtamil4176,0,0
Paddu nallave ella😡😡,2024-05-29T14:59:39Z,@user-gv2um9ed1z,0,0
Why I felt like I am hearing taj mahal 'a song SOTTA SOTTA while  listening to first 2 lines,2024-05-29T14:57:26Z,@continuity1845,0,0
HOOK STEP BELONGS TO OUR OWN SENTHIL SIR'S AVVA AVVA😅😂,2024-05-29T14:56:58Z,@Vignesh_92,0,0
Song is not so good,2024-05-29T14:54:30Z,@advocate937,0,0
T-Series ❌ Mr.beast✅,2024-05-29T14:52:25Z,@Minotothamilan4,2,0
Hasband ourkky rajava irudhalum avrukku mannvithan   rani,2024-05-29T14:49:32Z,@pavithranpavithran7870,2,0
Waiting allu pushba 2. Tamilnadu fanssssss,2024-05-29T14:47:49Z,@rajeshm7289,0,0
Ennada lyrics eludhuringa kandravi rhyming irukanumnu ennathaiyadhu eludhiradhu chai,2024-05-29T14:45:48Z,@priyakannan5994,1,0
"தேவி பிரசாத் இன்னும் எத்தனை காலத்துக்குதான் 
ஓரே மாதிரி இசையைப்பீங்க இதுவே இப்படினா அப்ப 
கங்குவா நிலமை",2024-05-29T14:43:20Z,@simonreingsmks6835,0,0
What A Singer ❤️❤️❤️,2024-05-29T14:38:57Z,@adityadashrollno1055,0,0
DSP,2024-05-29T14:38:56Z,@MrEmperorrrr,1,0
Biggest and crazyy fan of Allu Arjun from Maharashtra 🎉❤,2024-05-29T14:26:02Z,@ganesh_3414_official,5,0
"Engayo ketta song mari irukke

Minnathi minnal minnal minnathi minnal penne- Bajirao Mastani (Edited)",2024-05-29T14:20:31Z,@Funnytalesofapril,0,0
"Shreya Ghosal is the legend in current scenario..
BTS : pin my comment before it went viral ❤❤",2024-05-29T14:20:00Z,@madirisaradhi860,1,0
marathi touch is nice,2024-05-29T14:14:59Z,@thetransferaccount4586,0,0
"6 Languages, 1 Singer♥️ Queen Shreya Ghoshal ❤",2024-05-29T14:13:01Z,@rshrirambaabu,0,0
❤,2024-05-29T14:12:19Z,@ELEPHANt-GAMER_6969,0,0
Shreya Ghoshal voice Awesome 👍...Vera level,2024-05-29T14:12:07Z,@tmanikandan1381,0,0
Modern look Pushpa Raj nd Srivalli... Super,2024-05-29T14:10:55Z,@tmanikandan1381,4,0
Making video 📷📸 awesome 👍,2024-05-29T14:09:53Z,@tmanikandan1381,0,0
Allu arjun fans like ❤,2024-05-29T14:09:49Z,@sabeats1,0,0
புஷ்பா 2 திரைப்படம் மாபெரும் வெற்றி படமாக அமையும்... வாழ்த்துக்கள் அண்ணா... தமிழ் பாடல் வரிகள் அருமை,2024-05-29T14:09:17Z,@tmanikandan1381,0,0
❤,2024-05-29T14:09:09Z,@rejikalank1255,1,0
Here for Shreya Ghoshal 💖😍,2024-05-29T14:06:02Z,@THOPPISWAG,0,0
En saami song ku  vandha sodhanai😂😂😂😂,2024-05-29T13:50:37Z,@tharaneshr8542,0,0
Allu Arjun I love you videos.. It's So special about everything u Add utility in that.. I know how u suffered from starting till now ur best Man with lots of love..,2024-05-29T13:41:56Z,@Itsspookytalkswithayaanishika8,0,0
What in the sootu is this man,2024-05-29T13:36:56Z,@trger7415,0,0
Rashmika ❤🤘😘😍,2024-05-29T13:36:04Z,@Rahulm13141,0,0
Enna ya song thu 😂🤣,2024-05-29T13:35:54Z,@Rahulm13141,1,0
Super dsp 🔥,2024-05-29T13:35:27Z,@ArunaGandla-ng3zn,0,0
